City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
244,Ashta,IN,2021-12-09 05:55:13,23.0167,76.7167,297.46,36,0,2.9,clear sky
245,Coahuayana,MX,2021-12-09 05:55:14,18.7333,-103.6833,295.59,90,24,1.66,few clouds
246,Olafsvik,IS,2021-12-09 05:55:15,64.8945,-23.7142,275.01,75,100,9.39,moderate rain
247,Porto Calvo,BR,2021-12-09 05:55:17,-9.045,-35.3983,298.79,87,5,2.67,clear sky
248,Castro,BR,2021-12-09 05:55:18,-24.7911,-50.0119,283.4,94,36,2.73,scattered clouds
249,Alwar,IN,2021-12-09 05:55:19,27.5667,76.6,294.21,30,0,0.35,clear sky
250,Tecoanapa,MX,2021-12-09 05:55:21,16.5167,-98.75,297.44,85,16,1.3,few clouds
251,Saint-Augustin,CA,2021-12-09 05:55:22,51.226,-58.6502,262.11,55,96,3.97,overcast clouds
252,Zhigansk,RU,2021-12-09 05:55:23,66.7697,123.3711,239.23,100,85,4.35,overcast clouds
253,Cap Malheureux,MU,2021-12-09 05:55:24,-19.9842,57.6142,301.74,60,23,3.13,few clouds
254,Nangong,CN,2021-12-09 05:55:26,37.3581,115.3744,283.36,51,1,1.56,clear sky
255,Bobo Dioulasso,BF,2021-12-09 05:55:27,11.1771,-4.2979,297.4,20,5,4.63,clear sky
256,Iqaluit,CA,2021-12-09 05:55:29,63.7506,-68.5145,260.0,78,90,1.54,light snow
257,Tasiilaq,GL,2021-12-09 05:55:30,65.6145,-37.6368,270.58,65,100,13.32,overcast clouds
258,Nanakuli,US,2021-12-09 05:55:31,21.3906,-158.1547,298.14,73,90,0.0,overcast clouds
